File,uuid,serie,Geo Coordinate,Image Coordinate,width,height
20 Hasselt 1844,0ac1f5ea-209f-4207-aa41-4ab141bf8025,"('EERSTE DRUK', '3')","[[ 6.0622955 52.5358649]
 [ 6.1524743 52.5353176]
 [ 6.1535727 52.5985341]
 [ 6.0632645 52.5990825]
 [ 6.0622955 52.5358649]]","[[[ 214. 6117.]]

 [[5181. 6142.]]

 [[5209.  488.]]

 [[ 242.  463.]]]",5496,6624
S2 Dalfsen 1843,a8970f1a-47f1-4d96-bf48-47883eedf006,"('EERSTE DRUK', '3')","[[ 6.164047  52.4898073]
 [ 6.2826053 52.4889712]
 [ 6.2835237 52.5342317]
 [ 6.1648439 52.5350689]
 [ 6.164047  52.4898073]]","[[[ 472. 4586.]]

 [[6885. 4632.]]

 [[6915.  479.]]

 [[ 502.  433.]]]",7352,5100
01 Canne Signal 1849,b2300fe9-1136-4f01-b8eb-3c2b079f8563,"('EERSTE DRUK', '4')","[[ 5.6498558 50.7325265]
 [ 5.7199174 50.7323457]
 [ 5.7204995 50.813485 ]
 [ 5.6503154 50.8136662]
 [ 5.6498558 50.7325265]]","[[[ 407. 7317.]]

 [[4564. 7343.]]

 [[4608.  168.]]

 [[ 451.  143.]]]",5028,7680
02 Maastricht 1846 1847,80ea2e1c-aeb4-4e20-becd-44a3f99df6d5,"('EERSTE DRUK', '4')","[[ 5.6641266 50.8135778]
 [ 5.7360793 50.8133829]
 [ 5.7366216 50.8853292]
 [ 5.6645571 50.8855245]
 [ 5.6641266 50.8135778]]","[[[  11. 6864.]]

 [[4124. 6884.]]

 [[4156.  446.]]

 [[  42.  426.]]]",4188,7328
03 Reckheim 1847,cb7c5211-a852-4589-a220-38f70d959da2,"('EERSTE DRUK', '4')","[[ 5.6650953 50.8851504]
 [ 5.7795934 50.8848186]
 [ 5.7799809 50.9304668]
 [ 5.6653698 50.9307991]
 [ 5.6650953 50.8851504]]","[[[ 465. 4562.]]

 [[6896. 4599.]]

 [[6920.  442.]]

 [[ 488.  405.]]]",7360,5076
04 Stein 1847,c51a4a5b-0e46-4811-b9da-2ec5363ccdf8,"('EERSTE DRUK', '4')","[[ 5.6811935 50.9304924]
 [ 5.7940652 50.9301506]
 [ 5.7944598 50.9749278]
 [ 5.6814787 50.97527  ]
 [ 5.6811935 50.9304924]]","[[[ 453. 4594.]]

 [[6876. 4653.]]

 [[6915.  488.]]

 [[ 491.  429.]]]",7336,5136
05 Berg 1848,1e2cc3ad-dd9d-4c8d-a7ba-4aa07f3b059d,"('EERSTE DRUK', '4')","[[ 5.6958643 50.9745235]
 [ 5.8087889 50.9741674]
 [ 5.809188  51.0178133]
 [ 5.6961566 51.0181698]
 [ 5.6958643 50.9745235]]","[[[ 443. 4316.]]

 [[6906. 4354.]]

 [[6930.  474.]]

 [[ 466.  435.]]]",7351,4840
06 Stockheim 1849,43a04ddd-418e-46ad-8d7a-19765a9d7f74,"('EERSTE DRUK', '4')","[[ 5.716762  51.0168737]
 [ 5.8315282 51.0164905]
 [ 5.831994  51.0647675]
 [ 5.7171076 51.0651513]
 [ 5.716762  51.0168737]]","[[[ 458. 4767.]]

 [[6905. 4799.]]

 [[6927.  464.]]

 [[ 480.  431.]]]",7324,5264
07 Maeseijck 1849,8709c7d6-9dac-47ea-9a10-69ef509ab575,"('EERSTE DRUK', '4')","[[ 5.7500922 51.0646934]
 [ 5.8677858 51.0642654]
 [ 5.8682746 51.111043 ]
 [ 5.7504613 51.1114716]
 [ 5.7500922 51.0646934]]","[[[ 466. 4674.]]

 [[7116. 4721.]]

 [[7146.  486.]]

 [[ 496.  439.]]]",7568,5184
08 Stevensweert 1849,be3edc04-38b7-443c-978b-7a4b37331228,"('EERSTE DRUK', '4')","[[ 5.8021611 51.1105349]
 [ 5.9308102 51.1100036]
 [ 5.931344  51.1551103]
 [ 5.8025686 51.1556424]
 [ 5.8021611 51.1105349]]","[[[ 344. 4557.]]

 [[7491. 4589.]]

 [[7510.  444.]]

 [[ 363.  412.]]]",7632,5052
